Point Name,Code,Northing,Easting,Elevation,Latitude,Longitude,Altitude,Station Correction x,Station Correction y,Station Correction h,Original Latitude,Original Longitude,Original Altitude,Measuring type,Measuring height,Antenna Height,AGE,Local time,Solution Status,Used satellites,Tracked satellites,Measurement Method,Repeat Count,N,E,HRMS,VRMS,PDOP,HDOP,VDOP,Base ID,Base Latitude,Base Longitude,Base Altitude,Distance to Ref,Inclination correction,Pitch,Roll,Yaw,Inclined angle,Projected angle
Pt1,,149955.9668,354634.9606,32.5729,0.023663149,1.809800222,32.5729,,,,0.023663149,1.809800222,34.6389,Pole Height,2.0000,2.0660,0,2026-07-16 13:51:31.000,SINGLE,25,27,Smooth Point,5,0.0916,0.1012,0.6840,1.7180,1.1000,0.9000,0.9000,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000
Pt2,,149962.1319,354630.4524,33.6284,0.023664121,1.809799514,33.6284,,,,0.023664121,1.809799514,35.6944,Pole Height,2.0000,2.0660,0,2026-07-16 13:52:10.000,SINGLE,25,31,Smooth Point,5,0.0918,0.1050,0.7510,2.0144,1.2000,0.9000,0.9000,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000
Pt3,,149965.0253,354619.5814,34.5987,0.023664577,1.809797810,34.5987,,,,0.023664577,1.809797810,36.6647,Pole Height,2.0000,2.0660,0,2026-07-16 13:53:09.000,SINGLE,27,28,Smooth Point,5,0.0922,0.1390,0.8445,1.6786,1.1000,0.8000,0.8000,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000
Pt4,,149954.0336,354623.4856,32.7074,0.023662843,1.809798423,32.7074,,,,0.023662843,1.809798423,34.7734,Pole Height,2.0000,2.0660,0,2026-07-16 13:54:40.000,SINGLE,25,28,Smooth Point,5,0.0960,0.1450,0.8968,1.9594,1.2000,0.9000,0.9000,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000
Pt5,,149949.3158,354623.1317,32.5942,0.023662098,1.809798368,32.5942,,,,0.023662098,1.809798368,34.6602,Pole Height,2.0000,2.0660,0,2026-07-16 13:56:04.000,SINGLE,26,29,Smooth Point,5,0.0920,0.1320,0.8056,1.9192,1.1000,0.9000,0.9000,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000
Pt6,,149947.2444,354630.3498,33.3878,0.023661772,1.809799500,33.3878,,,,0.023661772,1.809799500,35.4538,Pole Height,2.0000,2.0660,0,2026-07-16 13:56:41.000,SINGLE,28,29,Smooth Point,5,0.0868,0.1052,0.7072,1.8940,1.1200,0.8400,0.8400,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000
Pt8,,149979.3360,354616.6823,32.9586,0.023666835,1.809797354,32.9586,,,,0.023666835,1.809797354,35.0246,Pole Height,2.0000,2.0660,0,2026-07-16 14:22:44.000,SINGLE,24,27,Smooth Point,5,0.0998,0.1548,0.9331,1.7968,1.2000,0.9000,0.9000,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000
Pt7,,149971.0888,354618.5424,34.3721,0.023665534,1.809797646,34.3721,,,,0.023665534,1.809797646,36.4381,Pole Height,2.0000,2.0660,0,2026-07-16 14:24:05.000,SINGLE,28,31,Smooth Point,5,0.1098,0.1606,0.9944,1.7882,1.1000,0.8800,0.8800,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000
Pt9,,149930.8552,354626.6240,35.7357,0.023659185,1.809798917,35.7357,,,,0.023659185,1.809798917,37.8017,Pole Height,2.0000,2.0660,0,2026-07-16 14:25:45.000,SINGLE,28,32,Smooth Point,5,0.0974,0.1262,0.7938,1.8266,1.2000,1.0000,1.0000,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000
Pt10,,149930.8706,354627.1062,38.7849,0.023659188,1.809798992,38.7849,,,,0.023659188,1.809798992,40.8509,Pole Height,2.0000,2.0660,0,2026-07-16 14:26:11.000,SINGLE,26,30,Smooth Point,5,0.1058,0.1322,0.8673,2.0202,1.2000,1.0000,1.0000,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.000000000,0.000000000
