Point Name,Code,Northing,Easting,Elevation,Latitude,Longitude,Altitude,Station Correction x,Station Correction y,Station Correction h,Original Latitude,Original Longitude,Original Altitude,Measuring type,Measuring height,Antenna Height,AGE,Local time,Solution Status,Used satellites,Tracked satellites,Measurement Method,Repeat Count,N,E,HRMS,VRMS,PDOP,HDOP,VDOP,Base ID,Base Latitude,Base Longitude,Base Altitude,Distance to Ref,Inclination correction,Pitch,Roll,Yaw,Inclined angle,Projected angle
Pt1,,149955.9668,354634.9606,32.5729,1.35579855,103.69391447,32.5729,,,,1.35579855,103.69391447,34.6389,Pole Height,2.0000,2.0660,0,2026-07-16 13:51:31.000,SINGLE,25,27,Smooth Point,5,0.0916,0.1012,0.6840,1.7180,1.1000,0.9000,0.9000,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Pt2,,149962.1319,354630.4524,33.6284,1.35585427,103.69387394,33.6284,,,,1.35585427,103.69387394,35.6944,Pole Height,2.0000,2.0660,0,2026-07-16 13:52:10.000,SINGLE,25,31,Smooth Point,5,0.0918,0.1050,0.7510,2.0144,1.2000,0.9000,0.9000,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Pt3,,149965.0253,354619.5814,34.5987,1.35588038,103.69377627,34.5987,,,,1.35588038,103.69377627,36.6647,Pole Height,2.0000,2.0660,0,2026-07-16 13:53:09.000,SINGLE,27,28,Smooth Point,5,0.0922,0.1390,0.8445,1.6786,1.1000,0.8000,0.8000,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Pt4,,149954.0336,354623.4856,32.7074,1.35578102,103.69381140,32.7074,,,,1.35578102,103.69381140,34.7734,Pole Height,2.0000,2.0660,0,2026-07-16 13:54:40.000,SINGLE,25,28,Smooth Point,5,0.0960,0.1450,0.8968,1.9594,1.2000,0.9000,0.9000,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Pt5,,149949.3158,354623.1317,32.5942,1.35573836,103.69380824,32.5942,,,,1.35573836,103.69380824,34.6602,Pole Height,2.0000,2.0660,0,2026-07-16 13:56:04.000,SINGLE,26,29,Smooth Point,5,0.0920,0.1320,0.8056,1.9192,1.1000,0.9000,0.9000,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Pt6,,149947.2444,354630.3498,33.3878,1.35571967,103.69387309,33.3878,,,,1.35571967,103.69387309,35.4538,Pole Height,2.0000,2.0660,0,2026-07-16 13:56:41.000,SINGLE,28,29,Smooth Point,5,0.0868,0.1052,0.7072,1.8940,1.1200,0.8400,0.8400,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Pt8,,149979.3360,354616.6823,32.9586,1.35600975,103.69375016,32.9586,,,,1.35600975,103.69375016,35.0246,Pole Height,2.0000,2.0660,0,2026-07-16 14:22:44.000,SINGLE,24,27,Smooth Point,5,0.0998,0.1548,0.9331,1.7968,1.2000,0.9000,0.9000,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Pt7,,149971.0888,354618.5424,34.3721,1.35593519,103.69376691,34.3721,,,,1.35593519,103.69376691,36.4381,Pole Height,2.0000,2.0660,0,2026-07-16 14:24:05.000,SINGLE,28,31,Smooth Point,5,0.1098,0.1606,0.9944,1.7882,1.1000,0.8800,0.8800,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Pt9,,149930.8552,354626.6240,35.7357,1.35557147,103.69383970,35.7357,,,,1.35557147,103.69383970,37.8017,Pole Height,2.0000,2.0660,0,2026-07-16 14:25:45.000,SINGLE,28,32,Smooth Point,5,0.0974,0.1262,0.7938,1.8266,1.2000,1.0000,1.0000,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
Pt10,,149930.8706,354627.1062,38.7849,1.35557161,103.69384403,38.7849,,,,1.35557161,103.69384403,40.8509,Pole Height,2.0000,2.0660,0,2026-07-16 14:26:11.000,SINGLE,26,30,Smooth Point,5,0.1058,0.1322,0.8673,2.0202,1.2000,1.0000,1.0000,,,,,,Not Set,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
